State,County,FIPS_code,count,avg_site_score,sum_site_score
VA,Westmoreland,51193.0,1.0,37.15,37.15
AL,Talladega,1121.0,1.0,36.83,36.83
FL,Alachua,12001.0,1.0,36.69,36.69
FL,Gadsden,12039.0,1.0,36.33,36.33
WV,Kanawha,54039.0,1.0,36.3,36.3
TN,Hickman,47081.0,1.0,36.14,36.14
UT,San Juan,49037.0,1.0,35.86,35.86
ME,Kennebec,23011.0,1.0,35.62,35.62
WV,Monongalia,54061.0,1.0,35.62,35.62
GA,Polk,13233.0,1.0,35.6,35.6
OH,Muskingum,39119.0,1.0,35.59,35.59
FL,Brevard,12009.0,1.0,35.57,35.57
MI,Leelanau,26089.0,1.0,35.53,35.53
IN,Vanderburgh,18163.0,1.0,35.52,35.52
NY,Seneca,36099.0,1.0,35.52,35.52
MI,Lapeer,26087.0,1.0,35.51,35.51
VA,Warren,51187.0,1.0,35.39,35.39
IN,Grant,18053.0,1.0,35.25,35.25
TN,Madison,47113.0,1.0,35.22,35.22
OH,Belmont,39013.0,1.0,35.1,35.1
PA,Bradford,42015.0,1.0,34.79,34.79
VT,Windsor,50027.0,1.0,34.79,34.79
IL,Knox,17095.0,1.0,34.78,34.78
NY,Chenango,36017.0,1.0,34.78,34.78
VA,Nelson,51125.0,1.0,34.78,34.78
CA,Sonoma,6097.0,1.0,34.7,34.7
PR,Utuado Municipio,72141.0,1.0,34.69,34.69
KY,Jefferson,21111.0,1.0,34.62,34.62
OH,Gallia,39053.0,1.0,34.56,34.56
ME,Aroostook,23003.0,1.0,34.49,34.49
VA,Spotsylvania,51177.0,1.0,34.24,34.24
WI,Taylor,55119.0,1.0,34.24,34.24
CA,Tulare,6107.0,1.0,34.21,34.21
IL,Adams,17001.0,1.0,34.21,34.21
KY,Logan,21141.0,1.0,34.21,34.21
WI,Sauk,55111.0,1.0,34.21,34.21
NY,Oneida,36065.0,1.0,34.2,34.2
IN,Kosciusko,18085.0,1.0,34.1,34.1
CT,Middlesex,9007.0,1.0,33.94,33.94
IL,Ogle,17141.0,1.0,33.93,33.93
MI,Branch,26023.0,1.0,33.93,33.93
SC,Allendale,45005.0,1.0,33.89,33.89
CA,San Diego,6073.0,1.0,33.79,33.79
KS,Geary,20061.0,1.0,33.79,33.79
LA,Livingston Parish,22063.0,1.0,33.79,33.79
PA,Susquehanna,42115.0,1.0,33.74,33.74
CA,Butte,6007.0,1.0,33.73,33.73
FL,Jackson,12063.0,1.0,33.73,33.73
CA,Nevada,6057.0,1.0,33.66,33.66
MI,Cass,26027.0,1.0,33.66,33.66
KS,Cowley,20035.0,1.0,33.62,33.62
KS,Reno,20155.0,1.0,33.62,33.62
NY,Livingston,36051.0,1.0,33.62,33.62
PA,Crawford,42039.0,1.0,33.62,33.62
SD,Meade,46093.0,1.0,33.62,33.62
NY,Greene,36039.0,1.0,33.61,33.61
MA,Berkshire,25003.0,1.0,33.03,33.03
OH,Washington,39167.0,1.0,33.03,33.03
PR,Juncos Municipio,72077.0,1.0,32.57,32.57
TX,Swisher,48437.0,1.0,32.33,32.33
ME,Androscoggin,23001.0,1.0,32.25,32.25
RI,Newport,44005.0,1.0,32.25,32.25
AZ,Yuma,4027.0,1.0,32.24,32.24
WI,Milwaukee,55079.0,1.0,32.14,32.14
ME,Knox,23013.0,1.0,32.11,32.11
NY,Sullivan,36105.0,1.0,32.11,32.11
WY,Natrona,56025.0,1.0,32.1,32.1
IA,Jasper,19099.0,1.0,32.04,32.04
SC,Chester,45023.0,1.0,32.04,32.04
MN,Stearns,27145.0,1.0,31.94,31.94
MN,Todd,27153.0,1.0,31.94,31.94
NE,Saunders,31155.0,1.0,31.94,31.94
CA,San Benito,6069.0,1.0,31.66,31.66
MS,Rankin,28121.0,1.0,31.66,31.66
MT,Stillwater,30095.0,1.0,31.66,31.66
SC,Cherokee,45021.0,1.0,31.58,31.58
OH,Tuscarawas,39157.0,1.0,31.38,31.38
MI,Eaton,26045.0,1.0,31.32,31.32
CO,Fremont,8043.0,1.0,31.31,31.31
OR,Umatilla,41059.0,1.0,31.31,31.31
MO,Cape Girardeau,29031.0,1.0,31.2,31.2
FL,Indian River,12061.0,1.0,31.13,31.13
OR,Benton,41003.0,1.0,31.07,31.07
PA,Schuylkill,42107.0,1.0,31.02,31.02
WI,Racine,55101.0,1.0,31.02,31.02
GA,Walker,13295.0,1.0,30.78,30.78
MD,Allegany,24001.0,1.0,30.54,30.54
NH,Coos,33007.0,1.0,30.54,30.54
NY,Clinton,36019.0,1.0,30.34,30.34
GA,Tift,13277.0,1.0,30.26,30.26
LA,Bossier Parish,22015.0,1.0,30.26,30.26
PA,Jefferson,42065.0,1.0,30.22,30.22
AL,Shelby,1117.0,1.0,30.2,30.2
KS,Butler,20015.0,1.0,30.16,30.16
MI,Chippewa,26033.0,1.0,30.16,30.16
TX,Waller,48473.0,1.0,30.16,30.16
VA,Pittsylvania,51143.0,1.0,30.16,30.16
IA,Floyd,19067.0,1.0,30.01,30.01
CA,Santa Barbara,6083.0,1.0,30.0,30.0
IL,Marion,17121.0,1.0,30.0,30.0
IL,St. Clair,17163.0,1.0,30.0,30.0
MN,Wadena,27159.0,1.0,29.81,29.81
IA,Des Moines,19057.0,1.0,29.73,29.73
VA,Smyth,51173.0,1.0,29.52,29.52
CA,Solano,6095.0,1.0,29.49,29.49
TN,Wayne,47181.0,1.0,29.44,29.44
OK,Payne,40119.0,1.0,29.34,29.34
KY,Daviess,21059.0,1.0,29.12,29.12
AR,Boone,5009.0,1.0,28.95,28.95
IL,Christian,17021.0,1.0,28.95,28.95
CA,Santa Cruz,6087.0,1.0,28.9,28.9
NJ,Warren,34041.0,1.0,28.9,28.9
WI,Walworth,55127.0,1.0,28.9,28.9
MO,Dunklin,29069.0,1.0,28.59,28.59
AR,Phillips,5107.0,1.0,28.5,28.5
IN,Jackson,18071.0,1.0,28.5,28.5
OR,Klamath,41035.0,1.0,28.5,28.5
PR,Vieques Municipio,72147.0,1.0,28.5,28.5
RI,Kent,44003.0,1.0,28.5,28.5
TN,Hamilton,47065.0,1.0,28.5,28.5
WI,Outagamie,55087.0,1.0,28.5,28.5
WV,Mason,54053.0,1.0,28.5,28.5
